"Country or Area","Year","Item","Value"
"Venezuela (Bolivarian Republic of)","2017","Gross Domestic Product (GDP)","7977.35915414723"
"Venezuela (Bolivarian Republic of)","2016","Gross Domestic Product (GDP)","9230.06795354244"
"Venezuela (Bolivarian Republic of)","2015","Gross Domestic Product (GDP)","11053.5558980797"
"Venezuela (Bolivarian Republic of)","2014","Gross Domestic Product (GDP)","11818.5046838921"
"Venezuela (Bolivarian Republic of)","2013","Gross Domestic Product (GDP)","12248.1754543274"
"Venezuela (Bolivarian Republic of)","2012","Gross Domestic Product (GDP)","12754.9918148647"
"Venezuela (Bolivarian Republic of)","2011","Gross Domestic Product (GDP)","10741.5996398281"
"Venezuela (Bolivarian Republic of)","2010","Gross Domestic Product (GDP)","13566.3919286453"
"Venezuela (Bolivarian Republic of)","2009","Gross Domestic Product (GDP)","11523.2611870247"
"Venezuela (Bolivarian Republic of)","2008","Gross Domestic Product (GDP)","11214.6871510343"
"Venezuela (Bolivarian Republic of)","2007","Gross Domestic Product (GDP)","8318.81122040141"
"Venezuela (Bolivarian Republic of)","2006","Gross Domestic Product (GDP)","6735.79348458842"
"Venezuela (Bolivarian Republic of)","2005","Gross Domestic Product (GDP)","5432.82196441427"
"Venezuela (Bolivarian Republic of)","2004","Gross Domestic Product (GDP)","4271.29547710877"
"Venezuela (Bolivarian Republic of)","2003","Gross Domestic Product (GDP)","3228.99126626109"
"Venezuela (Bolivarian Republic of)","2002","Gross Domestic Product (GDP)","3655.81253625081"
"Venezuela (Bolivarian Republic of)","2001","Gross Domestic Product (GDP)","4926.59520660231"
"Venezuela (Bolivarian Republic of)","2000","Gross Domestic Product (GDP)","4783.76557041098"
"Venezuela (Bolivarian Republic of)","1999","Gross Domestic Product (GDP)","4077.32783347078"
"Venezuela (Bolivarian Republic of)","1998","Gross Domestic Product (GDP)","3875.22016938746"
"Venezuela (Bolivarian Republic of)","1997","Gross Domestic Product (GDP)","3714.28462554198"
"Venezuela (Bolivarian Republic of)","1996","Gross Domestic Product (GDP)","3013.48420684185"
"Venezuela (Bolivarian Republic of)","1995","Gross Domestic Product (GDP)","3375.10003790068"
"Venezuela (Bolivarian Republic of)","1994","Gross Domestic Product (GDP)","2631.04682711625"
"Venezuela (Bolivarian Republic of)","1993","Gross Domestic Product (GDP)","2732.27632362824"
"Venezuela (Bolivarian Republic of)","1992","Gross Domestic Product (GDP)","2810.9140916119"
"Venezuela (Bolivarian Republic of)","1991","Gross Domestic Product (GDP)","2544.07435445776"
"Venezuela (Bolivarian Republic of)","1990","Gross Domestic Product (GDP)","2368.16667321606"
"Venezuela (Bolivarian Republic of)","1989","Gross Domestic Product (GDP)","2137.24114610749"
"Venezuela (Bolivarian Republic of)","1988","Gross Domestic Product (GDP)","3081.57935408376"
"Venezuela (Bolivarian Republic of)","1987","Gross Domestic Product (GDP)","2520.75587335672"
"Venezuela (Bolivarian Republic of)","1986","Gross Domestic Product (GDP)","3259.07167166969"
"Venezuela (Bolivarian Republic of)","1985","Gross Domestic Product (GDP)","3424.8977723154"
"Venezuela (Bolivarian Republic of)","1984","Gross Domestic Product (GDP)","3396.30076625032"
"Venezuela (Bolivarian Republic of)","1983","Gross Domestic Product (GDP)","4755.22841096006"
"Venezuela (Bolivarian Republic of)","1982","Gross Domestic Product (GDP)","4895.02540456409"
"Venezuela (Bolivarian Republic of)","1981","Gross Domestic Product (GDP)","4922.14934378056"
"Venezuela (Bolivarian Republic of)","1980","Gross Domestic Product (GDP)","4506.50556159833"
"Venezuela (Bolivarian Republic of)","1979","Gross Domestic Product (GDP)","3784.44619147828"
"Venezuela (Bolivarian Republic of)","1978","Gross Domestic Product (GDP)","3165.8895247883"
"Venezuela (Bolivarian Republic of)","1977","Gross Domestic Product (GDP)","2997.98929485888"
"Venezuela (Bolivarian Republic of)","1976","Gross Domestic Product (GDP)","2674.89945794083"
"Venezuela (Bolivarian Republic of)","1975","Gross Domestic Product (GDP)","2404.37868292076"
"Venezuela (Bolivarian Republic of)","1974","Gross Domestic Product (GDP)","2349.52252428363"
"Venezuela (Bolivarian Republic of)","1973","Gross Domestic Product (GDP)","1576.81724926875"
"Venezuela (Bolivarian Republic of)","1972","Gross Domestic Product (GDP)","1361.63929512326"
"Venezuela (Bolivarian Republic of)","1971","Gross Domestic Product (GDP)","1272.44202537462"
"Venezuela (Bolivarian Republic of)","1970","Gross Domestic Product (GDP)","1193.51313856059"

